Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
126,-109.879085,0.005103700000006484,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
127,-109.807251575,0.07183342499999412,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,60,8A,,,,,,,,,
128,-109.803407675,0.003843900000006784,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
129,-109.7838112,0.01959647500000017,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,69,,,,,,,,,
130,-109.7286688,0.05514239999999404,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
131,-109.6538936,0.07477520000000482,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
132,-109.607708625,0.04618497500000274,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,63,8F,,,,,,,,,
133,-109.5792683,0.02844032499999116,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
134,-109.4987975,0.08047080000000051,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
135,-109.48584045,0.01295704999999714,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,63,,,,,,,,,
136,-109.415614975,0.07022547500000087,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
137,-109.3981161,0.01749887500000114,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,94,,,,,,,,,
138,-109.3317243,0.06639180000000522,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
139,-109.275065,0.05665929999999264,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,63,,,,,,,,,
140,-109.247892675,0.02717232500000932,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
141,-109.19936985,0.04852282499999205,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,68,98,,,,,,,,,
142,-109.175615625,0.02375422500000468,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,5F,,,,,,,,,
143,-109.1638684,0.01174722499999348,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
144,-109.0800138,0.08385460000000933,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
145,-109.0762639,0.003749900000002526,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,5C,,,,,,,,,
146,-109.0044586,0.07180529999999408,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
147,-108.9837578,0.02070080000000018,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,69,9D,,,,,,,,,
148,-108.97592025,0.007837550000004967,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,54,,,,,,,,,
149,-108.9303473,0.04557294999999328,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
150,-108.8756038,0.05474350000000072,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,53,,,,,,,,,
151,-108.855707,0.01989679999999794,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
152,-108.793954075,0.06175292500000751,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,53,00,00,01,03,07,01,,,
153,-108.793693925,0.000260150000002568,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,50,08,2C,3C,08,76,,,
154,-108.79345395,0.0002399749999995038,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,5C,13,45,,,
